person_id,institution,program,location
4525,Boston University,Graduate Certificate,
4526,The Ohio State University,BFA in Strategic Communication Design,
4527,Foothill College,Computer Science,
4528,South Ural State University(SUSU),BA in Economics & Management,"Chelyabinsk, RU"
4528,South Ural University(SUU),BA in Accounting and Economics,"Chelyabinsk, RU"
4529,West Chester University of Pennsylvania,Bachelor Of Science in Marketing,"West Chester, PA"
4529,Bucks County Community College,Associate in Business Administration,"Newtown, PA"
4530,High school or equivalent,,
4531,Philippine Women's University,Bachelor of Fine Arts in Graphic Design,
4532,Keiser University,Associate in Computer Programming,
4533,Community College of Vermont,AA in Graphic Design,"Burlington, VT"
4534,American University of Science and Technology,Bachelor of Science in Information and Communication Technology,"Beirut, LB"
4535,Academy of Art University,Master in Web Design & New Media,"San Francisco, CA"
4535,The Maryland Institute College of Art,Master in Photographic and Electronic Media,"Baltimore, MD"
4535,Communication University Of China,Bachelor in Game Design,"Beijing, CN"
4536,Turing School of Software Design,Front-End Engineering,"Denver, CO"
4537,University for Business and Technology,Bachelor,Pristina (Kosovo)
4538,Bank of China,"Oracle Developer, DBA administrator - Oracle Certified DBA","Beijing, CN"
4539,Phoenix High School,,"Lawrenceville, GA"
4539,Grayson High School,,"Grayson, GA"
4540,Full Sail University,Master's in Internet Marketing,"Winter Park, FL"
4540,Full Sail University,Bachelor's in Web Design / User Experience / Web Development,"Winter Park, FL"
4540,University of Phoenix-Sacramento Valley Campus,Bachelor's in Information Technology/Information Technology Systems,"Sacramento, CA"
4540,MTI Business College Inc,Associate in Application Development,"Sacramento, CA"
4540,MTI College,Diploma in Computer Support Specialist,"Sacramento, CA"
4541,San José State University,"Bachelor of Arts in Radio, Television and Film",
4543,Delaware County Community College,AAS in Interactive Multimedia,"Media, PA"
4544,Golden State Technology Institute,Web Developer Certificate,
4544,Karmae shri Nalanda Institute for High Buddhist Studies,,
4545,The University of Arizona,"Bachelors of Arts in Communications, Minor in General Business","Tucson, AZ"
4546,Carteret Community College,Associate in Website Development,"Morehead City, NC"
4546,Carteret Community College,Videography,"Morehead City, NC"
4546,School of Communication Arts,Associate in Graphic Design,"Raleigh, NC"
4547,ATLANTIC UNIVERSITY COLLEGE,BA,"Guaynabo, PR"
4549,Hodges University,Bachelor of Science in Graphic Design & Marketing,"Fort Myers, FL"
4549,Sony Training University,Certificate of Completion in Computer hardware & software,"Fort Myers, FL"
4549,"TC Training Center, Inc",Certificate of Completion in Public Relations,"Rehrersburg, PA"
4550,Miami dade college,Associate Degree in Network Engineering,"Miami, FL"
4550,Coral Gables Sr High School,High School Diploma,"Coral Gables, FL"
4551,"LADOKE AKINTOLA UNIVERSITY OF TECHNOLOGY, OYO STATE",BTECH in ELECTRICAL ELECTRONICS ENGINEERING,
4552,Villanova University,B.A. in Economics,January 2000 to June 2005
4553,Wesleyan University,BA,"Middletown, CT"
4553,Parsons School of Design,UX and Web Development,"New York, NY"
4553,Academy of Art University,Interaction Design,"San Francisco, CA"
4554,North West Missouri State university AND Texas A&M university,Masters in Computer Science in Software engineering,
4555,Bryant University,Business Administration,"Smithfield, RI"
4556,Web Development Netcom,,"New York, NY"
4556,School of Visual Arts,Graphic Design,"New York, NY"
4556,State University of New York,Journalism,
4557,Florida Gulf Coast University,Bachelor's in Forensic Science minor Chemistry,"Fort Myers, FL"
4558,The Art Institute of California - San Francisco,Bachelor of Science in Graphic and Web Design,"San Francisco, CA"
4558,The Art Institute of California - San Francisco,Associate of Science in Graphic Design,"San Francisco, CA"
4558,Diablo Valley College,Associate of Arts in Liberal Arts,"Pleasant Hill, CA"
4560,UNCG,BFA-Theatre,"Greensboro, NC"
4561,Jacksonville State University,Bachelor of Fine Arts in Commercial Design & Marketing,"Jacksonville, AL"
4562,NEW YORK INSTITUTE OF TECHNOLOGY,MA in Media Management & Interactive Multimedia,"New York, NY"
4562,NORTH CAROLINA STATE UNIVERSITY,BS in Information Technology,"Raleigh, NC"
4564,Cheshire High School,High school or equivalent,"Cheshire, CT"
4565,General Assembly,Front End Web Development Bootcamp,
4565,Los Angeles Film School,Computer Animation,
4565,Unitek College,Pharmacy Tech,
4566,TECHNICAL UNIVERSITY of DORTMUND,Masters in Web Design,"Dortmund, DE"
4566,UNIVERSITY of LOS ANDES,Bachelor's in Graphic Design,"Merida, Venezuela"
4567,Nagpur University,B.TECH: Chemical Technology,"Nagpur, India"
4568,Academy of Design,Associates of Science in Digital Design,
4568,Valencia College,Associates of Science in Architecture Design and Project Management,
4568,Metropolitan University,Bachelors of Science in Computer Science,
4569,Harvard Extension School,Graduate Certificate in Front End Web Development,
4570,Western Kentucky University,"Bachelor's in Advertising, Bachelor's in Journalism","Bowling Green, KY"
4571,Liberty University,BA in Pre-Law,
4571,Walden University,BA in Social Work,
4571,Carthage College,General Education,
4572,The Art Institute International of Minnesota,AAS in Applied Science Graphic Design,
4573,"University of North Carolina - Charlotte, NC",M.S. in Data Visualization,"Charlotte, NC"
4573,"University of South Carolina Upstate - Spartanburg, SC",B.S. in Computer Science and Mathematics,"Spartanburg, SC"
4574,Madison Area Technical College,Graphic Design,
4575,Colorado State University-Global Campus,Bachelor's in Project Management,"Denver, CO"
4575,Metropolitan State University of Denver,Web Technologies,"Denver, CO"
4575,Richland College,Web Technologies,"Dallas, TX"
4576,UCLA - Extension,BA in Business Marketing Management,"Los Angeles, CA"
4576,California State University - Los Angeles,,"Los Angeles, CA"
4578,Oklahoma State University,Bachelor of Science in Mathematics,
4578,University of Texas at Dallas,Masters of Science in Computer Science,"Dallas, TX"
4579,Savannah College of Art and Design,BFA in Advertising Design,
4580,King's College - London,Bachelor of Science in Physics,London
4581,Saint Petersburg College,Computer Programming,"Clearwater, FL"
4582,Platt College,AA in Graphic Design,
4583,University of Missouri St. Louis,Commercial Voice-Overs,"Des Peres, MO"
4584,UC Berkeley,M.S. in Computer Science / Artificial Intelligence,"Berkeley, CA"
4584,Cal State University Chico,M.S. and B.S.,
4586,New York Institute of Technology,B.F.A in Graphic Design,"New York, NY"
4587,High school or equivalent,,
4588,,,
4589,Barry University,"Psychology, Philosophy","Miami, FL"
4590,American Intercontinental University,Bachelor of Fine Arts in Visual Communication,
4590,American Intercontinental University,Master of Business Administration in Marketing,
4590,Laurel High School,High School Diploma in Arts & Humanities,
4591,Drexel University,BS in CORPORATE COMMUNICATIONS,"Philadelphia, PA"
4591,Thomas Jefferson High School for Science & Technology,college preparatory,"Alexandria, VA"
4592,Missouri State University,Bachelor of Science in Computer Information Systems (CIS),"Springfield, MO"
4593,Concordia University Irvine,BA in Mathematics and Computer Science,"Irvine, CA"
4594,Creighton University,Master's in Business Intelligence and Analytics,"Omaha, NE"
4594,Eastern Illinois University,Bachelor of Science in Business,
4595,Santa Rosa Junior College,AS goal for dual major in Computer Science and Natural Science,"Santa Rosa, CA"
4595,General Assembly,Certificate in User Experience (UX) Design,"San Francisco, CA"
4595,Academy of Art University,Motion Pictures & Television,"San Francisco, CA"
4595,UCLA,Writers Program,"Los Angeles, CA"
4596,Texas A&M University,B.S. in Public Relations,"College Station, TX"
4597,Sinclair Community College,Associate of Science in Computer Information Systems,"Dayton, OH"
4597,Western Governors University,Bachelor of Science,"Salt Lake City, UT"
4598,University of Wisconsin-Stout,BS in Technology Education,"Menomonie, WI"
4598,Chippewa Valley Technical College,Associates in Computer Info Systems,
4599,Southern New Hampshire University,B.S in DIGITAL MARKETING,
4599,Madison Media Institute,A.S in MULTIMEDIA TECHNOLOGY,
4600,Stevens Institute of Technology,Master of Science in Computer Science,"Hoboken, NJ"
4600,Stevens Institute of Technology,Bachelor of Engineering in Computer Engineering,"Hoboken, NJ"
4601,North Carolina State University,Master of Engineering in Computer Science,"Raleigh, NC"
4601,St. Andrews University,Bachelor of Science in Mathematics in Computer Science,"Laurinburg, NC"
4602,Delaware County Community College,AAS in Interactive Multimedia,"Media, PA"
4603,Cal State East Bay,Bachelor's in industrial psych / criminal justice,"Hayward, CA"
4603,Contra Costa Community College,Associate in liberal arts / admin of justice,"San Pablo, CA"
4603,Codify Academy,coding boot camp in front end web,"San Francisco, CA"
4604,University of Texas at Austin,Masters in Radio-TV-Film,"Austin, TX"
4604,University of Texas at Austin,Bachelors in Radio-TV-Film,"Austin, TX"
4605,Clover Park Technical College,Certificate in Multimedia Production and Web Development,"Lakewood, WA"
4606,Farleigh Dickinson University,Bachelor's in Computer Science,"Rutherford, NJ"
4606,Florida State University,,"Tallahassee, FL"
4607,Business Open University,,
4608,Shahjalal university of Science & Technology,Bachelor of Arts in Bengali Language and Literature,"Sylhet, Bangaldesh"
4609,Central University of Las Villas,Bachelor of Science in Computer Science and Mathematics,Las Villas
4609,Central University of Las Villas,Master of Science in Computer Science,Las Villas
4610,Columbia College Chicago,B.A in Interactive Media,"Chicago, IL"
4611,University of Maryland University College,Bachelors in Philosophy,
4611,"Air University, Community College of the Air Force",Associates in Logistics,
4611,Northern Virginia Community College,Associates in Communication Design,
4611,Northern Virginia Community College,Associates in Interactive Design,
4612,Art Institute of New York City,Web Development & Interactive Media,New York City
4613,University of Applied Sciences Munich,"MFA in Design, Computer Science, Branding, Marketing","Munich, DE"
4614,UMUC Overseas Military Campus,Information Technology in IFSM/CMIS,"Bad Aibling, Germany"
4614,Human Factors International,Usability Analyst Certification,"San Antonio, TX"
4615,Savannah State University,Bachelor of Science in Electronic Engineering Technology,"Savannah, GA"
4616,Oregon State University,Bachelor's Degree in Computer Science,"Corvallis, OR"
4617,School of Visual Arts,Certification in Digital Graphic Design,"New York, NY"
4617,William Paterson University,Bachelor's Degree in Business Administration in Marketing,"Wayne, NJ"
4618,Inver Hills Community College,Associate in Business/IT/Communications,"Inver Grove Heights, MN"
4618,The Art Institutes International-Minnesota,Bachelor's in Web Design & Interactive Media,"Minneapolis, MN"
4618,Creative Arts Highschool,High school or equivalent in Graphic Design & Photography,"Saint Paul, MN"
4619,"Yarmouk University - Jordan, MN",BS in Computer Information System,Jordan
4620,Manhattan College,Bachelor of Science in Computer Science,"New York, NY"
4621,Northwestern University,Bachelor of Science in Radio/Television/Film Production,"Evanston, IL"
4622,San Diego State University,BFA in Graphic Design,"San Diego, CA"
4623,Columbus College of Art & Design,B.F.A. in Advertising Design,"Columbus, OH"
4623,Muskingum College,B.A. in Economics,
4624,,Bachelor's,
4625,Pondicherry University,Master of Computer Applications,Puducherry
4625,Pondicherry University,Bachelor of Computer Science Education,Puducherry
4626,College of William & Mary,MBA,
4626,School of Visual Arts,MFA in Computer Art,
4626,Macaulay Honors College at Hunter College,B.A in Digital Media and Studio Art,
4627,American Intercontinental University,Masters of Information Technology,"Atlanta, GA"
4627,University of South Florida,Bachelor of Arts in Geography/Anthropology,"Tampa, FL"
4628,Noida Institute of Engineering and Technology,B. Tech. in Computer Science,"Noida, UTTAR PRADESH, IN"
4630,Syracuse University School of Information Studies,Masters in Information Management,"Syracuse, NY"
4630,Syracuse University School of Arts and Sciences,B.S. in Psychology,"Syracuse, NY"
4631,Shoreline Community College,Web Programming,
4631,North Seattle Community College,,
4631,Washington State University,Bachelor's in Sociology,
4632,Truman State University,Bachelor's in English,"Kirksville, MO"
4632,Truman State University,Master's in Elementary Education,"Kirksville, MO"
4633,American Public University,Master's in Business Administration and Information Technology Management,"San Diego, CA"
4633,Pennsylvania State University,,
4634,University of Maryland,Bachelor's in Elementary Education,
4634,general York Technical College,,
4635,James Madison University,B.S. in Health Sciences,Harrisonburg
4636,Carnegie Mellon University,Master of Entertainment Technology in simulations & physics,
4636,Gujarat University,BS in Computer Engineering,
4637,Gettysburg College,B.A in Physics,"Gettysburg, PA"
4638,Luther Burbank High School,High School Diploma,"Sacramento, CA"
4639,Arizona State University,BACHELORS OF SCIENCE in COMPUTER SCIENCE,"Tempe, AZ"
4640,Lamar University,Master's of Science Computer Science,"Beaumont, TX"
4640,Gujarat Technological University,Bachelor's of Engineering in Computer Science in Engineering,
4642,The Ohio State University,Doctorate in Dental Surgery,"Columbus, OH"
4642,University of California,Bachelor of Science in Genetics,"Davis, CA"
4642,Babbage-Simmel Management Recruiters International University,Certificate of Completion in Business Analysis Theory & Practice,
4643,The University of Texas at Arlington,Bachelor of Fine Arts in Visual Communication,"Arlington, TX"
4644,Wagner College,Computer Science,"Staten Island, NY"
4644,Wagner College,Associate in Computer Science,"Orlando, FL"
4645,Michigan State University,Bachelor of Arts in Telecommunication,"East Lansing, MI"
4646,,,
4647,Berkeley College,Information Design,"Berkeley, CA"
4648,SUNY College at Old Westbury,Bachelor of Science in Computer Science,"Old Westbury, NY"
4649,San Jose State University,Bachelor of Science in Computer Engineering,"San Jose, CA"
4650,Fordham University at Lincoln Center,Bachelor of Science in Computer Science,"New York, NY"
4651,Art Institute of Portland,Bachelor of Science in Web Design and Interactive Media,
4652,Hussian School of Art,"Bachelor's Equivalent, 4 Year Associate of Specialized Technology (A.S.T.) in Graphic Design","Philadelphia, PA"
4653,Some college,,
4654,California State University Northridge,Bachelor of Arts in Art with an emphasis in Photography,"Northridge, CA"
4654,Orange Coast College,Certificate in Marketing,"Costa Mesa, CA"
4654,Orange County School of the Arts,High School Diploma in Visual Arts,"Santa Ana, CA"
4655,Framingham State University,Bachelor's in Art,"Framingham, MA"
4655,Northeastern University,Certification in Website Design and Development,"Burlington, MA"
4656,THE PONTIFICAL CATHOLIC UNIVERSITY OF ECUADOR,BACHELOR OF SCIENCE in (BS) COMPUTER SOFTWARE ENGINEERING,
4657,Medical Midwest Technical Institute,,
4658,Morgan State University,B.S. in Electrical Engineering,"Baltimore, MD"
4659,UC Berkeley,B.S. in Computer Science,"Berkeley, CA"
4660,A.W. Tozer Theological Seminary/Simpson University,"Master's in Pastoral Leadership, Theology, Counseling","Redding, CA"
4660,Multnomah School of the Bible,"Bachelor's in Education, Pastoral Leadership, Counseling","Portland, OR"
4660,Spokane Community College,"Associate in Computers, Electronics, Communication","Spokane, WA"
4661,Michigan State University,Front End Developer,"Lansing, MI"
4661,Illinois Institute of Technology,Master of Science,"Chicago, IL"
4661,JNT University,Bachelors of Technology in Technology,
4662,Fairfield University,,"Fairfield, CT"
4663,Baker College,Certificate in Web Design,
4663,Miami International University of Art and Design,Bachelor's in BS Web Design and Interactive Media,"Miami, FL"
4663,The Art Institute of Fort Lauderdale,Bachelor's in Graphic Design,"Fort Lauderdale, FL"
4666,SALT LAKE COMMUNITY COLLEGE,BS in Computer Science And Software Engineering,
4666,,HIGH SCHOOL DIMPLOMA,
4667,University of Rhode Island,Bachelor of Science,"Kingston, RI"
4667,Community College of Rhode Island,Certificate,"Warwick, RI"
4668,Eleven Fifty Academy,Bachelor of Arts in Music,"Fishers, IN"
4668,DePauw University,,"Greencastle, IN"
4669,New York Institute of Technology,BFA in Graphic Design & Fine Art,
4670,High school or equivalent,,
4671,University of Washington Extensions,Certificate,"Seattle, WA"
4671,Washington State University,Bachelor of Science in Management Information Systems,"Pullman, WA"
4672,Florida International University,"Bachelor of Business Administration in Management Information Systems, General","Miami, FL"
4673,The University of Akron,Bachelor of eCommerce Management in eCommerce Management & Minor,"Akron, OH"
4673,Cuyahoga Community College,Associates of Technical Studies in eBusiness Management in eCommerce System Management,"Parma, OH"
4673,Cuyahoga Community College,Associate of Applied Business Degree in Visual Communication & Interactive Multimedia,"Parma, OH"
4674,Lenoir-Rhyne University,Bachelor's in Information Technology,"Hickory, NC"
4676,Orange Coast College,Digital media arts and Commercial arts design,"Orange, CA"
4676,ROP,Computer Science Principles,
4678,P.S.I. Institute of Silver Spring,Diploma in Computer Programming,"Silver Spring, MD"
4679,Virginia Commonwealth University,Bachelor of Science in Business,"Richmond, VA"
4680,,,
4681,udemy,Information Technology in Business,"Baton Rouge, LA"
4681,Army Air Assault School,Graduate,
4682,Stuttgart American High School,,
4683,Winthrop University,,May 2009
4684,SVU University,Bachelor of Information Technology in Management,"Damascus, SY"
4685,Ryazan Institute of Radio Engineering,MS degree in COMPUTER SCIENCE,"Ryazan, RU"
4686,Valley High School,,"Sacramento, CA"
4687,Asia Pacific College,Associate in Computer Technology in Computer Science,
4688,Full Stack Academy,,
4689,COLLINS COLLEGE,Associate of Arts in web technologies,"Tempe, AZ"
4690,Escuela Departmental de Bellas Artes,web design,
4691,University of Wisconsin-Milwaukee,Bachelor's in MIS,"Milwaukee, WI"
4692,Northwestern Polytechnic University,Computer Engineering,
4692,Jawaharlal Technological University,Electronics and communication in engineering,
4693,HU School of Business Executive,Bachelor of Fine Arts in Graphic Design,"Washington, DC"
4694,University Of Belize,Information Technology,
4695,Texas State Technical College,Digital Media Design Technology,"Waco, TX"
4695,McLennan Community College,Journalism/Photography,"Waco, TX"
4696,East Carolina University,"M.S, Software Engineering in Software Design & Development","Greenville, NC"
4696,Kurukshetra University,Bachelor of Technology in Computer Science & Engineering,
4697,LAKE WASHINGTON TECHNICAL COLLEGE,Certificate of Completion,"Kirkland, WA"
4698,Oklahoma State University,Bachelor of University Studies in Creative Writing and Education,"Stillwater, OK"
4698,Tulsa Community College,Associate of Arts in English,"Tulsa, OK"
4700,Rutgers University,,"New Brunswick, NJ"
4701,North Carolina State University,BA in Mass Media,
4701,North Carolina State University,BA in Business Management,
4702,Berkeley City College,Computer Science,"Berkeley, CA"
4702,Academy of Art University,Animation and Visual Effects,"San Francisco, CA"
4703,Southern New Hampshire University,Master's in Information Technology,Work at Home
4703,Midlands Technical College,"AS, AA, Web Development in Web Development, Science, and Art","West Columbia, SC"
4703,University of South Carolina,Bachelor of Fine Arts in Fine Arts,"Columbia, SC"
4704,Brooks College,Associate of Science in Multimedia Design,"Long Beach, CA"
4705,University of Baltimore School of Law,Juris Doctorate in Law,"Baltimore, MD"
4705,General Assembly,Certificate of Completion in Back End Web Development,"Washington, DC"
4706,Rai Business School,Post Graduate Diploma in Business Administration,"Delhi, Delhi"
4706,Sikkim Manipal University,Bachelor of Science in Information Technology,
4707,LaSalle University Mexico,Bachelor's in Cybernetics and System Engineering,Mexico
4708,University of Wisconsin - Eau Claire,Bachelors Degree in Computer Science,"Eau Claire, WI"
4709,Interamerican University,B.A in Computer Science,"Bayamón, PR"
4709,Interamerican University,Asociate in Science Application,"Bayamón, PR"
4710,Illinois Institute of Art,Bachelors of Fine Arts in Multimedia / Web Design,
4711,Chubb Institute,Diploma in Web Development and Business Programming in Development and Business,"Alpharetta, GA"
4711,Art Institute of Atlanta,Multimedia and Graphic Design,"Atlanta, GA"
4712,Learning Fuze,Front End Web Developer in Web Development Immersive Bootcamp,"Irvine, CA"
4712,Career Technical Education Center,Diploma in Web Design,"Norwalk, CA"
4712,University of Karachi,Bachelors of Accounting and Business Management,
4713,California State University Northridge,Electrical Engineering,
4714,Southern New Hampshire University,Associates Degree in Accounting,
4715,Sonoma State University,BA in Philosophy,"Rohnert Park, CA"
4715,UC Berkeley Haas School of Business,Business Management,"Berkeley, CA"
4715,Laney College,Associates in Business,"Oakland, CA"
4715,San Francisco State University,Certificate,"San Francisco, CA"
4715,Mendocino High School,,"Mendocino, CA"
4716,Master's,,
4717,The Art Institute of Dallas,Visual Communications,"Dallas, TX"
4718,Eastern Montana College,Art,"Billings, MT"
4718,U of O,Certificate in Electronic Publishing,"Portland, OR"
4718,Portland Community College,Marketing,"Portland, OR"
4718,Search Academy,Certificate in Search Marketing & Visibility,"Portland, OR"
4719,Cuyahoga Community College,Visual Communication and Design,
4720,The University of Phoenix,,
4720,Collin County Community College,,
4721,UNAPEC University,Bachelor Degree in Computer Science,"Santo Domingo, DO"
4722,Northern Virginia Community College,Associates in Information Technology,"Sterling, VA"
4722,Northern Virginia Community College,Associates of Arts in General Studies,"Sterling, VA"
4722,Northern Virginia Community College,Certificate in Technical Illustration,"Sterling, VA"
4723,TEXAS STATE TECHNICAL COLLEGE,DIGITAL IMAGING TECHNOLOGY,"Harlingen, TX"
4723,BIG SPRING HIGH SCHOOL,,"Big Spring, TX"
4724,New York University,B.M. in Music Composition & Theory,
4724,The Learning Center,Certificate in Web Design,
4725,ART INSTITUTE OF CHARLESTON,Bachelor of Fine Arts in Web Design and Interactive Media,"Charleston, SC"
4725,TRIDENT TECHNICAL COLLEGE,Associate in Science,"North Charleston, SC"
4726,University of Maryland Baltimore Campus,Psychology,"Baltimore, MD"
4726,Towson State University,Psychology,
4727,Kazan State University,MS in Applied Mathematics in Mathematics and Informatics,"Kazan, RU"
4728,Regent University,M.A. in Digital Media Communications,"Virginia Beach, VA"
4728,Bethel College,B.A. in Communication/Journalism,"Mishawaka, IN"
4729,Syracuse University,B.F.A. in Computer Graphics,
4730,University of Milano,Master's in Visual Communication,Milano
4730,University of Milano,"Research, Design and Visual Communications",Milano
4731,Art Institute of Atlanta,Associate in Web Design & Interactive Media,"Atlanta, GA"
4731,Louisiana Tech University,Graphic Design (coursework applied),"Ruston, LA"
4732,Warren Township HS,,"Gurnee, IL"
4732,CLC,Real Estate and Business,"Grayslake, IL"
4733,American Public University,Master of Science in Information Technology in Enterprise Applications,
4733,Central Philippine University,Bachelor's of Science in Engineering in Electronics and Communications,
4734,University of Rochester,Anthropology,"Rochester, NY"
4734,Art Institute of Seattle,Associate of Applied Arts in Multimedia,"Seattle, WA"
4734,Clackamas Community College,,
4734,Monroe Community College,,
4735,University of Virginia,Master of Science in Computer Science,
4736,The Art Institute of Dallas,multimedia,"Dallas, TX"
4736,Macomb Community College,,"Warren, MI"
4737,Hawassa University,Bachelor of Science,
4738,University of Central Florida,Master of Science in Computer Engineering,"Orlando, FL"
4738,JSS Academy of Technical Education (VTU),Bachelor of Engineering in Electronics and Communication Engineering,"Bengaluru, Karnataka"
4739,Art Institute of Fort Lauderdale,Bachelor of Science degree in Multimedia and Web Design,"Fort Lauderdale, FL"
4739,DePaul University,Bachelor of Arts degree in Communication and Sociology,"Chicago, IL"
4740,Rochester Institute of Technology,BFA in Visual Media,"Rochester, NY"
4741,Baker College,Bachelor of Applied Science in Web Development,"Flint, MI"
4741,Baker College,Associate of Applied Science in Web Development,"Flint, MI"
4742,DeVry University,Bachelor of Science in Computer Information Systems,"Columbus, OH"
4742,The Ohio State University,Bachelor of Arts in Business and Applied Economics,"Columbus, OH"
4743,Brigham Young University,B.A. in Design,"Provo, UT"
4744,Bachelor's,,
4745,Navarro College,Vocational Nursing,"Waxahachie, TX"
4745,Michigan State University,B.S.,"East Lansing, MI"
4747,Eisenhower High School,,"Rialto, CA"
4748,"California State University - Los Angeles, CA",Master of science in Electrical & Computer Engineering,"Los Angeles, CA"
4748,Gujarat Technological University,Bachelor of Engineering in Electronics & Communication,
4749,"California State University - Los Angeles, CA",Master of Electrical and Computer Engineering in Electrical and Computer Engineering,"Los Angeles, CA"
4749,Gujarat Technological University,Bachelor of Engineering in Electronics & Communication,"Gujarat, IN"
4750,McDaniel College,Bachelor of Arts in Graphic Design,"Westmister, MD"
4751,Midstate College,Associates Degree in Computer Science,"Peoria, IL"
4753,Parsons New School,Certification,
4753,Long Island University,Bachelors of Arts,
4754,St Charles Community College,AAS in Computer Science/Multimedia and Web Design,"Cottleville, MO"
4755,Technical University of Berlin,M.S. in Physics,"Berlin, DE"
4756,University of Phoenix,Associates Degree in Information Tech / Software Engineering,"Phoenix, AZ"
4757,Berklee College of Music,Bachelor in Music,"Boston, MA"
4757,Salem High School,,"Salem, NH"
4758,New York Institute of Technology,BS in Computer Science & Business Management,"New York, NY"
4759,Illinois Wesleyan University,"Bachelor of Arts in Computer Science, Music","Bloomington, IL"
4760,E. Ukrainian National Univ.,Master's in Computer science,"Luhansk, UA"
4760,E. Ukrainian National Univ.,Bachelor's,"Luhansk, UA"
4763,Full Sail University,AA degree in Graphic Design,"Orlando, FL"
4763,Forest Park Community College,,"St. Louis, MO"
4764,Virginia union university,Criminal justice,"Richmond, VA"
4764,Career blazers,Computer PC specialist,"Manhattan, NY"
4765,Utrecht School of the Arts,,
4766,Full Sail Real World Education,Associate of Science,"Orlando, FL"
4767,"IGNOU - New Delhi, Delhi",Bachelor of Information Technology in Architecture,"New Delhi, Delhi"
4768,Bharath Institute of Higher Education and Research,Master of Computer Applications,
4769,University of Connecticut,BA in Communication Science and English,
4769,The Peddie School,,
4769,Staples High School,,
4770,Oregon State University,Business,"Corvallis, OR"
4770,Portland Community College,Computer Information Systems,"Portland, OR"
4771,Marshall University,Master's in computer science,
4771,Osmania University,Bachelor's,
4772,Lycee technique d'Ettelbruck,Business Administration Degree,"Ettelbruck, Luxembourg"
4773,Bachelor's,,
4775,Pierce College at Fort Steilacoom,"Undergrad + CS Classes, inc. C++","Steilacoom, WA"
4777,Free International University of Moldova,Master in International Affairs,
4778,,,
4779,Some college,,
4781,Clark University Career Institute,Masters Certificate in web development and the Adobe Creative suite,2005 to 2007
4782,NORTH CENTRAL TEXAS COLLEGE,ASSOCIATE DEGREE in SCIENCE INFORMATION TECHNOLOGY,May 2014
4782,UNIVERSITY OF NORTH TEXAS,BACHELOR OF SCIENCE in KINESIOLOGY,December 2011
4783,Art Institute of Atlanta,Bachelors of Web Development in Animation,Atlanta
4784,U.C. Berkeley,B.A. in Biological Anthropology,
4784,USC,Master's in Professional Nonfiction Writing,
4784,General Assembly,Certificate in Web development,"Santa Monica, CA"
4785,Central Washington University,Bachelor of Arts in History,"Ellensburg, WA"
4786,Art Institute of Atlanta,Associate in Arts in Interactive Media Design,"Boston, MA"
4787,Master's,,
4789,"Bernard M. Baruch College - New York, NY",Bachelor of Business Administration in Computer Information Systems,"New York, NY"
4790,"TEXAS TECH UNIVERSITY - TECH, TEXAS, US",Bachelors in Electronics and Communication Engineering,"TEXAS, US"
4791,"TEXAS TECH UNIVERSITY - TECH, TEXAS, US",Bachelors in Electronics and Communication Engineering,"TEXAS, US"
4793,Lahore Leads University,Bscs in computer science,"Lahore, VA"
4793,Govt Islamia college,ICS in Computer Science,Kasur
4793,"Govt High School Mustafa Abad teh,Distt Kasur",Matriculation in Science,Kasur
4794,North Carolina A & T State University,Bachelor's,"Greensboro, NC"
4796,Lakeland Community College,AS in BioScience Technology,January 2005 to January 2008
4796,"MicroTrain, LLC",Windows 2000 Certified Systems Engineer,January 2004
4796,Sun Microsystems,Sun Solaris Certified Systems Administrator,January 2002
4797,Computer Processing Institute,,"Stratford, CT"
4798,Eagle Gate College,Associates in Graphic Design,"Murray, UT"
4799,Bowling Green State University,Master of Science in Computer Science,"Bowling Green, OH"
4799,Sir C.R. Reddy College of Engineering,Bachelors in Computer Science,
4800,National Intelligence University,Master of Science in Science & Technology Intelligence,"Washington, DC"
4800,Excelsior College,BS in Liberal Arts,"New York, NY"
4801,,,
4802,Columbus State Community College,Associate of Science in design and multimedia development,"Columbus, OH"
4803,Universitat Oberta de Catalunya (UOC),Bachelor's Degree in Digital Communications and Multimedia,"Barcelona, ES"
4804,University of Tennessee-Knoxville,Bachelor's of Art in Studio Art,"Knoxville, TN"
4805,Miami International University of Art And Design,B.A. in Graphic & Web Design,"Miami, FL"
4805,Florida Institute of Technology,A.S. in Computer Science,"Melbourne, FL"
4805,University of Miami,C.P. in Advanced Web Design,"Miami, FL"
4806,Yanka Kupala State University of Grodno,Master's in Mathematics and Computer Science,Grodno
4807,Auburn University,BFA in Graphic Design,"Auburn, AL"
4809,Chelyabinsk State University,BACHELORS in Applied Mathematics and Computer Science,Chelyabinsk
4810,Free Code Camp Online University,Certification in Front End Development,"San Francisco, CA"
4810,Watch and Code,JavaScript Classes,"Utica, NY"
4811,,,
4812,University of Auckland,Bachelor of Visual Arts in Visual Arts,"Auckland City, Auckland"
4813,School of Visual Arts,BFA in Illustration & Design,
4815,University of Texas at Arlington,Bachelor's in Biology and English,"Arlington, TX"
4815,General Assembly,Web Development Immersive,Remote
4816,,Master's,
4819,"The New School, Parsons school of design",MA in Design Technology,"New York, NY"
4819,University of Queensland,BA in Electrical Engineering,Brisbane QLD
